KEGG ID hsa,hsa,KEGG ID pae,pae,KEGG ID lsv,lsv,KEGG ID rsx,rsx,KEGG ID ztr,ztr,KEGG ID bfu,bfu,KEGG ID cne,cne,KEGG ID cng,cng,KEGG ID cal,cal,KEGG ID afm,afm
hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),pae01310,Nitrogen cycle - Pseudomonas aeruginosa PAO1,lsv00020,Citrate cycle (TCA cycle) - Lactuca sativa (garden lettuce),rsx00020,Citrate cycle (TCA cycle) - Rhizoctonia solani,ztr00020,Citrate cycle (TCA cycle) - Zymoseptoria tritici,bfu00020,Citrate cycle (TCA cycle) - Botrytis cinerea (gray mold),cne00030,Pentose phosphate pathway - Cryptococcus neoformans var. neoformans JEC21,cng00030,Pentose phosphate pathway - Cryptococcus neoformans var. grubii H99,cal00030,Pentose phosphate pathway - Candida albicans,afm00020,Citrate cycle (TCA cycle) - Aspergillus fumigatus
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),pae00010,Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1,lsv00030,Pentose phosphate pathway - Lactuca sativa (garden lettuce),rsx00030,Pentose phosphate pathway - Rhizoctonia solani,ztr00030,Pentose phosphate pathway - Zymoseptoria tritici,bfu00030,Pentose phosphate pathway - Botrytis cinerea (gray mold),cne00040,Pentose and glucuronate interconversions - Cryptococcus neoformans var. neoformans JEC21,cng00040,Pentose and glucuronate interconversions - Cryptococcus neoformans var. grubii H99,cal00040,Pentose and glucuronate interconversions - Candida albicans,afm00030,Pentose phosphate pathway - Aspergillus fumigatus
hsa00052,Galactose metabolism - Homo sapiens (human),pae00020,Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1,lsv00040,Pentose and glucuronate interconversions - Lactuca sativa (garden lettuce),rsx00040,Pentose and glucuronate interconversions - Rhizoctonia solani,ztr00040,Pentose and glucuronate interconversions - Zymoseptoria tritici,bfu00040,Pentose and glucuronate interconversions - Botrytis cinerea (gray mold),cne00051,Fructose and mannose metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00051,Fructose and mannose metabolism - Cryptococcus neoformans var. grubii H99,cal00051,Fructose and mannose metabolism - Candida albicans,afm00040,Pentose and glucuronate interconversions - Aspergillus fumigatus
hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),pae00030,Pentose phosphate pathway - Pseudomonas aeruginosa PAO1,lsv00051,Fructose and mannose metabolism - Lactuca sativa (garden lettuce),rsx00051,Fructose and mannose metabolism - Rhizoctonia solani,ztr00051,Fructose and mannose metabolism - Zymoseptoria tritici,bfu00051,Fructose and mannose metabolism - Botrytis cinerea (gray mold),cne00052,Galactose metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00052,Galactose metabolism - Cryptococcus neoformans var. grubii H99,cal00052,Galactose metabolism - Candida albicans,afm00051,Fructose and mannose metabolism - Aspergillus fumigatus
hsa00500,Starch and sucrose metabolism - Homo sapiens (human),pae00040,Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1,lsv00052,Galactose metabolism - Lactuca sativa (garden lettuce),rsx00052,Galactose metabolism - Rhizoctonia solani,ztr00052,Galactose metabolism - Zymoseptoria tritici,bfu00052,Galactose metabolism - Botrytis cinerea (gray mold),cne00053,Ascorbate and aldarate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00053,Ascorbate and aldarate metabolism - Cryptococcus neoformans var. grubii H99,cal00053,Ascorbate and aldarate metabolism - Candida albicans,afm00052,Galactose metabolism - Aspergillus fumigatus
hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),pae00051,Fructose and mannose metabolism - Pseudomonas aeruginosa PAO1,lsv00053,Ascorbate and aldarate metabolism - Lactuca sativa (garden lettuce),rsx00053,Ascorbate and aldarate metabolism - Rhizoctonia solani,ztr00053,Ascorbate and aldarate metabolism - Zymoseptoria tritici,bfu00053,Ascorbate and aldarate metabolism - Botrytis cinerea (gray mold),cne00500,Starch and sucrose metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00500,Starch and sucrose metabolism - Cryptococcus neoformans var. grubii H99,cal00500,Starch and sucrose metabolism - Candida albicans,afm00053,Ascorbate and aldarate metabolism - Aspergillus fumigatus
hsa00620,Pyruvate metabolism - Homo sapiens (human),pae00052,Galactose metabolism - Pseudomonas aeruginosa PAO1,lsv00500,Starch and sucrose metabolism - Lactuca sativa (garden lettuce),rsx00500,Starch and sucrose metabolism - Rhizoctonia solani,ztr00500,Starch and sucrose metabolism - Zymoseptoria tritici,bfu00500,Starch and sucrose metabolism - Botrytis cinerea (gray mold),cne00520,Amino sugar and nucleotide sugar metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00520,Amino sugar and nucleotide sugar metabolism - Cryptococcus neoformans var. grubii H99,cal00520,Amino sugar and nucleotide sugar metabolism - Candida albicans,afm00500,Starch and sucrose metabolism - Aspergillus fumigatus
hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),pae00053,Ascorbate and aldarate metabolism - Pseudomonas aeruginosa PAO1,lsv00520,Amino sugar and nucleotide sugar metabolism - Lactuca sativa (garden lettuce),rsx00520,Amino sugar and nucleotide sugar metabolism - Rhizoctonia solani,ztr00520,Amino sugar and nucleotide sugar metabolism - Zymoseptoria tritici,bfu00520,Amino sugar and nucleotide sugar metabolism - Botrytis cinerea (gray mold),cne00620,Pyruvate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00620,Pyruvate metabolism - Cryptococcus neoformans var. grubii H99,cal00620,Pyruvate metabolism - Candida albicans,afm00520,Amino sugar and nucleotide sugar metabolism - Aspergillus fumigatus
hsa00640,Propanoate metabolism - Homo sapiens (human),pae00500,Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1,lsv00620,Pyruvate metabolism - Lactuca sativa (garden lettuce),rsx00620,Pyruvate metabolism - Rhizoctonia solani,ztr00620,Pyruvate metabolism - Zymoseptoria tritici,bfu00620,Pyruvate metabolism - Botrytis cinerea (gray mold),cne00630,Glyoxylate and dicarboxylate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00630,Glyoxylate and dicarboxylate metabolism - Cryptococcus neoformans var. grubii H99,cal00630,Glyoxylate and dicarboxylate metabolism - Candida albicans,afm00620,Pyruvate metabolism - Aspergillus fumigatus
hsa00650,Butanoate metabolism - Homo sapiens (human),pae00520,Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1,lsv00630,Glyoxylate and dicarboxylate metabolism - Lactuca sativa (garden lettuce),rsx00630,Glyoxylate and dicarboxylate metabolism - Rhizoctonia solani,ztr00630,Glyoxylate and dicarboxylate metabolism - Zymoseptoria tritici,bfu00630,Glyoxylate and dicarboxylate metabolism - Botrytis cinerea (gray mold),cne00640,Propanoate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00640,Propanoate metabolism - Cryptococcus neoformans var. grubii H99,cal00640,Propanoate metabolism - Candida albicans,afm00630,Glyoxylate and dicarboxylate metabolism - Aspergillus fumigatus
hsa00562,Inositol phosphate metabolism - Homo sapiens (human),pae00620,Pyruvate metabolism - Pseudomonas aeruginosa PAO1,lsv00640,Propanoate metabolism - Lactuca sativa (garden lettuce),rsx00640,Propanoate metabolism - Rhizoctonia solani,ztr00640,Propanoate metabolism - Zymoseptoria tritici,bfu00640,Propanoate metabolism - Botrytis cinerea (gray mold),cne00650,Butanoate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00650,Butanoate metabolism - Cryptococcus neoformans var. grubii H99,cal00650,Butanoate metabolism - Candida albicans,afm00640,Propanoate metabolism - Aspergillus fumigatus
hsa00190,Oxidative phosphorylation - Homo sapiens (human),pae00630,Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa PAO1,lsv00650,Butanoate metabolism - Lactuca sativa (garden lettuce),rsx00650,Butanoate metabolism - Rhizoctonia solani,ztr00650,Butanoate metabolism - Zymoseptoria tritici,bfu00650,Butanoate metabolism - Botrytis cinerea (gray mold),cne00660,C5-Branched dibasic acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00660,C5-Branched dibasic acid metabolism - Cryptococcus neoformans var. grubii H99,cal00660,C5-Branched dibasic acid metabolism - Candida albicans,afm00650,Butanoate metabolism - Aspergillus fumigatus
hsa00910,Nitrogen metabolism - Homo sapiens (human),pae00640,Propanoate metabolism - Pseudomonas aeruginosa PAO1,lsv00660,C5-Branched dibasic acid metabolism - Lactuca sativa (garden lettuce),rsx00660,C5-Branched dibasic acid metabolism - Rhizoctonia solani,ztr00660,C5-Branched dibasic acid metabolism - Zymoseptoria tritici,bfu00660,C5-Branched dibasic acid metabolism - Botrytis cinerea (gray mold),cne00562,Inositol phosphate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00562,Inositol phosphate metabolism - Cryptococcus neoformans var. grubii H99,cal00562,Inositol phosphate metabolism - Candida albicans,afm00660,C5-Branched dibasic acid metabolism - Aspergillus fumigatus
hsa00920,Sulfur metabolism - Homo sapiens (human),pae00650,Butanoate metabolism - Pseudomonas aeruginosa PAO1,lsv00562,Inositol phosphate metabolism - Lactuca sativa (garden lettuce),rsx00562,Inositol phosphate metabolism - Rhizoctonia solani,ztr00562,Inositol phosphate metabolism - Zymoseptoria tritici,bfu00562,Inositol phosphate metabolism - Botrytis cinerea (gray mold),cne00190,Oxidative phosphorylation - Cryptococcus neoformans var. neoformans JEC21,cng00190,Oxidative phosphorylation - Cryptococcus neoformans var. grubii H99,cal00190,Oxidative phosphorylation - Candida albicans,afm00562,Inositol phosphate metabolism - Aspergillus fumigatus
hsa00061,Fatty acid biosynthesis - Homo sapiens (human),pae00660,C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa PAO1,lsv00190,Oxidative phosphorylation - Lactuca sativa (garden lettuce),rsx00190,Oxidative phosphorylation - Rhizoctonia solani,ztr00190,Oxidative phosphorylation - Zymoseptoria tritici,bfu00190,Oxidative phosphorylation - Botrytis cinerea (gray mold),cne00710,Carbon fixation by Calvin cycle - Cryptococcus neoformans var. neoformans JEC21,cng00710,Carbon fixation by Calvin cycle - Cryptococcus neoformans var. grubii H99,cal00710,Carbon fixation by Calvin cycle - Candida albicans,afm00190,Oxidative phosphorylation - Aspergillus fumigatus
hsa00062,Fatty acid elongation - Homo sapiens (human),pae00562,Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1,lsv00195,Photosynthesis - Lactuca sativa (garden lettuce),rsx00710,Carbon fixation by Calvin cycle - Rhizoctonia solani,ztr00710,Carbon fixation by Calvin cycle - Zymoseptoria tritici,bfu00710,Carbon fixation by Calvin cycle - Botrytis cinerea (gray mold),cne00680,Methane metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00680,Methane metabolism - Cryptococcus neoformans var. grubii H99,cal00680,Methane metabolism - Candida albicans,afm00710,Carbon fixation by Calvin cycle - Aspergillus fumigatus
hsa00071,Fatty acid degradation - Homo sapiens (human),pae00190,Oxidative phosphorylation - Pseudomonas aeruginosa PAO1,lsv00196,Photosynthesis - antenna proteins - Lactuca sativa (garden lettuce),rsx00680,Methane metabolism - Rhizoctonia solani,ztr00680,Methane metabolism - Zymoseptoria tritici,bfu00680,Methane metabolism - Botrytis cinerea (gray mold),cne00910,Nitrogen metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00910,Nitrogen metabolism - Cryptococcus neoformans var. grubii H99,cal00910,Nitrogen metabolism - Candida albicans,afm00680,Methane metabolism - Aspergillus fumigatus
hsa00100,Steroid biosynthesis - Homo sapiens (human),pae00710,Carbon fixation by Calvin cycle - Pseudomonas aeruginosa PAO1,lsv00710,Carbon fixation by Calvin cycle - Lactuca sativa (garden lettuce),rsx00910,Nitrogen metabolism - Rhizoctonia solani,ztr00910,Nitrogen metabolism - Zymoseptoria tritici,bfu00910,Nitrogen metabolism - Botrytis cinerea (gray mold),cne00920,Sulfur metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00920,Sulfur metabolism - Cryptococcus neoformans var. grubii H99,cal00920,Sulfur metabolism - Candida albicans,afm00910,Nitrogen metabolism - Aspergillus fumigatus
hsa00120,Primary bile acid biosynthesis - Homo sapiens (human),pae00720,Other carbon fixation pathways - Pseudomonas aeruginosa PAO1,lsv00910,Nitrogen metabolism - Lactuca sativa (garden lettuce),rsx00920,Sulfur metabolism - Rhizoctonia solani,ztr00920,Sulfur metabolism - Zymoseptoria tritici,bfu00920,Sulfur metabolism - Botrytis cinerea (gray mold),cne00061,Fatty acid biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00061,Fatty acid biosynthesis - Cryptococcus neoformans var. grubii H99,cal00061,Fatty acid biosynthesis - Candida albicans,afm00920,Sulfur metabolism - Aspergillus fumigatus
hsa00140,Steroid hormone biosynthesis - Homo sapiens (human),pae00680,Methane metabolism - Pseudomonas aeruginosa PAO1,lsv00920,Sulfur metabolism - Lactuca sativa (garden lettuce),rsx00061,Fatty acid biosynthesis - Rhizoctonia solani,ztr00061,Fatty acid biosynthesis - Zymoseptoria tritici,bfu00061,Fatty acid biosynthesis - Botrytis cinerea (gray mold),cne00062,Fatty acid elongation - Cryptococcus neoformans var. neoformans JEC21,cng00062,Fatty acid elongation - Cryptococcus neoformans var. grubii H99,cal00062,Fatty acid elongation - Candida albicans,afm00061,Fatty acid biosynthesis - Aspergillus fumigatus
hsa00561,Glycerolipid metabolism - Homo sapiens (human),pae00910,Nitrogen metabolism - Pseudomonas aeruginosa PAO1,lsv00061,Fatty acid biosynthesis - Lactuca sativa (garden lettuce),rsx00062,Fatty acid elongation - Rhizoctonia solani,ztr00062,Fatty acid elongation - Zymoseptoria tritici,bfu00062,Fatty acid elongation - Botrytis cinerea (gray mold),cne00071,Fatty acid degradation - Cryptococcus neoformans var. neoformans JEC21,cng00071,Fatty acid degradation - Cryptococcus neoformans var. grubii H99,cal00071,Fatty acid degradation - Candida albicans,afm00062,Fatty acid elongation - Aspergillus fumigatus
hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),pae00920,Sulfur metabolism - Pseudomonas aeruginosa PAO1,lsv00062,Fatty acid elongation - Lactuca sativa (garden lettuce),rsx00071,Fatty acid degradation - Rhizoctonia solani,ztr00071,Fatty acid degradation - Zymoseptoria tritici,bfu00071,Fatty acid degradation - Botrytis cinerea (gray mold),cne00100,Steroid biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00100,Steroid biosynthesis - Cryptococcus neoformans var. grubii H99,cal00100,Steroid biosynthesis - Candida albicans,afm00071,Fatty acid degradation - Aspergillus fumigatus
hsa00565,Ether lipid metabolism - Homo sapiens (human),pae00061,Fatty acid biosynthesis - Pseudomonas aeruginosa PAO1,lsv00071,Fatty acid degradation - Lactuca sativa (garden lettuce),rsx00100,Steroid biosynthesis - Rhizoctonia solani,ztr00073,"Cutin, suberine and wax biosynthesis - Zymoseptoria tritici",bfu00073,"Cutin, suberine and wax biosynthesis - Botrytis cinerea (gray mold)",cne00561,Glycerolipid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00561,Glycerolipid metabolism - Cryptococcus neoformans var. grubii H99,cal00561,Glycerolipid metabolism - Candida albicans,afm00100,Steroid biosynthesis - Aspergillus fumigatus
hsa00600,Sphingolipid metabolism - Homo sapiens (human),pae00071,Fatty acid degradation - Pseudomonas aeruginosa PAO1,lsv00073,"Cutin, suberine and wax biosynthesis - Lactuca sativa (garden lettuce)",rsx00561,Glycerolipid metabolism - Rhizoctonia solani,ztr00100,Steroid biosynthesis - Zymoseptoria tritici,bfu00100,Steroid biosynthesis - Botrytis cinerea (gray mold),cne00564,Glycerophospholipid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00564,Glycerophospholipid metabolism - Cryptococcus neoformans var. grubii H99,cal00564,Glycerophospholipid metabolism - Candida albicans,afm00561,Glycerolipid metabolism - Aspergillus fumigatus
hsa00590,Arachidonic acid metabolism - Homo sapiens (human),pae00074,Mycolic acid biosynthesis - Pseudomonas aeruginosa PAO1,lsv00100,Steroid biosynthesis - Lactuca sativa (garden lettuce),rsx00564,Glycerophospholipid metabolism - Rhizoctonia solani,ztr00561,Glycerolipid metabolism - Zymoseptoria tritici,bfu00561,Glycerolipid metabolism - Botrytis cinerea (gray mold),cne00565,Ether lipid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00565,Ether lipid metabolism - Cryptococcus neoformans var. grubii H99,cal00565,Ether lipid metabolism - Candida albicans,afm00564,Glycerophospholipid metabolism - Aspergillus fumigatus
hsa00591,Linoleic acid metabolism - Homo sapiens (human),pae00561,Glycerolipid metabolism - Pseudomonas aeruginosa PAO1,lsv00561,Glycerolipid metabolism - Lactuca sativa (garden lettuce),rsx00565,Ether lipid metabolism - Rhizoctonia solani,ztr00564,Glycerophospholipid metabolism - Zymoseptoria tritici,bfu00564,Glycerophospholipid metabolism - Botrytis cinerea (gray mold),cne00600,Sphingolipid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00600,Sphingolipid metabolism - Cryptococcus neoformans var. grubii H99,cal00600,Sphingolipid metabolism - Candida albicans,afm00565,Ether lipid metabolism - Aspergillus fumigatus
hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),pae00564,Glycerophospholipid metabolism - Pseudomonas aeruginosa PAO1,lsv00564,Glycerophospholipid metabolism - Lactuca sativa (garden lettuce),rsx00600,Sphingolipid metabolism - Rhizoctonia solani,ztr00565,Ether lipid metabolism - Zymoseptoria tritici,bfu00565,Ether lipid metabolism - Botrytis cinerea (gray mold),cne00590,Arachidonic acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00590,Arachidonic acid metabolism - Cryptococcus neoformans var. grubii H99,cal00590,Arachidonic acid metabolism - Candida albicans,afm00600,Sphingolipid metabolism - Aspergillus fumigatus
hsa01040,Biosynthesis of unsaturated fatty acids - Homo sapiens (human),pae00565,Ether lipid metabolism - Pseudomonas aeruginosa PAO1,lsv00565,Ether lipid metabolism - Lactuca sativa (garden lettuce),rsx00590,Arachidonic acid metabolism - Rhizoctonia solani,ztr00600,Sphingolipid metabolism - Zymoseptoria tritici,bfu00600,Sphingolipid metabolism - Botrytis cinerea (gray mold),cne00592,alpha-Linolenic acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00592,alpha-Linolenic acid metabolism - Cryptococcus neoformans var. grubii H99,cal00592,alpha-Linolenic acid metabolism - Candida albicans,afm00590,Arachidonic acid metabolism - Aspergillus fumigatus
hsa00230,Purine metabolism - Homo sapiens (human),pae00600,Sphingolipid metabolism - Pseudomonas aeruginosa PAO1,lsv00600,Sphingolipid metabolism - Lactuca sativa (garden lettuce),rsx00591,Linoleic acid metabolism - Rhizoctonia solani,ztr00590,Arachidonic acid metabolism - Zymoseptoria tritici,bfu00590,Arachidonic acid metabolism - Botrytis cinerea (gray mold),cne01040,Biosynthesis of unsaturated fatty acids - Cryptococcus neoformans var. neoformans JEC21,cng01040,Biosynthesis of unsaturated fatty acids - Cryptococcus neoformans var. grubii H99,cal01040,Biosynthesis of unsaturated fatty acids - Candida albicans,afm00591,Linoleic acid metabolism - Aspergillus fumigatus
hsa00240,Pyrimidine metabolism - Homo sapiens (human),pae00592,alpha-Linolenic acid metabolism - Pseudomonas aeruginosa PAO1,lsv00590,Arachidonic acid metabolism - Lactuca sativa (garden lettuce),rsx00592,alpha-Linolenic acid metabolism - Rhizoctonia solani,ztr00592,alpha-Linolenic acid metabolism - Zymoseptoria tritici,bfu00591,Linoleic acid metabolism - Botrytis cinerea (gray mold),cne00230,Purine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00230,Purine metabolism - Cryptococcus neoformans var. grubii H99,cal00230,Purine metabolism - Candida albicans,afm00592,alpha-Linolenic acid metabolism - Aspergillus fumigatus
