hsa,pae,lsv,rsx,ztr,bfu,cne,cng,cal,afm
Metabolism of xenobiotics by cytochrome P450,,,,,,,,,
Non-alcoholic fatty liver disease,,,,,,,,,
Insulin signaling pathway,,,,,,,,,
Virion - Human immunodeficiency virus,,,,,,,,,
Proteoglycans in cancer,,,,,,,,,
Rap1 signaling pathway,,,,,,,,,
Fc epsilon RI signaling pathway,,,,,,,,,
Wnt signaling pathway,,,,,,,,,
Neuroactive ligand-receptor interaction,,,,,,,,,
Small cell lung cancer,,,,,,,,,
Circadian rhythm,,,,,,,,,
Inflammatory mediator regulation of TRP channels,,,,,,,,,
Pathways of neurodegeneration - multiple diseases,,,,,,,,,
Taste transduction,,,,,,,,,
Chemokine signaling pathway,,,,,,,,,
Steroid hormone biosynthesis,,,,,,,,,
Cholinergic synapse,,,,,,,,,
Endocrine resistance,,,,,,,,,
Virion - Flavivirus and Alphavirus,,,,,,,,,
Viral carcinogenesis,,,,,,,,,
Ferroptosis,,,,,,,,,
Systemic lupus erythematosus,,,,,,,,,
Cocaine addiction,,,,,,,,,
Legionellosis,,,,,,,,,
Cortisol synthesis and secretion,,,,,,,,,
PPAR signaling pathway,,,,,,,,,
Hippo signaling pathway - multiple species,,,,,,,,,
Vasopressin-regulated water reabsorption,,,,,,,,,
Mineral absorption,,,,,,,,,
Prion disease,,,,,,,,,
Viral protein interaction with cytokine and cytokine receptor,,,,,,,,,
AGE-RAGE signaling pathway in diabetic complications,,,,,,,,,
Retinol metabolism,,,,,,,,,
Amoebiasis,,,,,,,,,
Pertussis,,,,,,,,,
"Parathyroid hormone synthesis, secretion and action",,,,,,,,,
Calcium signaling pathway,,,,,,,,,
Autoimmune thyroid disease,,,,,,,,,
Salmonella infection,,,,,,,,,
Serotonergic synapse,,,,,,,,,
Viral myocarditis,,,,,,,,,
Gastric cancer,,,,,,,,,
Type II diabetes mellitus,,,,,,,,,
Thermogenesis,,,,,,,,,
Nicotine addiction,,,,,,,,,
Hepatitis C,,,,,,,,,
Hematopoietic cell lineage,,,,,,,,,
Human immunodeficiency virus 1 infection,,,,,,,,,
Renin-angiotensin system,,,,,,,,,
Progesterone-mediated oocyte maturation,,,,,,,,,
EGFR tyrosine kinase inhibitor resistance,,,,,,,,,
Coronavirus disease - COVID-19,,,,,,,,,
Maturity onset diabetes of the young,,,,,,,,,
Phospholipase D signaling pathway,,,,,,,,,
Focal adhesion,,,,,,,,,
HIF-1 signaling pathway,,,,,,,,,
Long-term depression,,,,,,,,,
Arrhythmogenic right ventricular cardiomyopathy,,,,,,,,,
Spinocerebellar ataxia,,,,,,,,,
Longevity regulating pathway - multiple species,,,,,,,,,
Glycosaminoglycan biosynthesis - keratan sulfate,,,,,,,,,
Vibrio cholerae infection,,,,,,,,,
Fat digestion and absorption,,,,,,,,,
Epithelial cell signaling in Helicobacter pylori infection,,,,,,,,,
Non-small cell lung cancer,,,,,,,,,
C-type lectin receptor signaling pathway,,,,,,,,,
Apelin signaling pathway,,,,,,,,,
Apoptosis - multiple species,,,,,,,,,
Rheumatoid arthritis,,,,,,,,,
Intestinal immune network for IgA production,,,,,,,,,
Cellular senescence,,,,,,,,,
Platelet activation,,,,,,,,,
Hedgehog signaling pathway,,,,,,,,,
NF-kappa B signaling pathway,,,,,,,,,
Dopaminergic synapse,,,,,,,,,
Estrogen signaling pathway,,,,,,,,,
Alcoholic liver disease,,,,,,,,,
Leishmaniasis,,,,,,,,,
Inflammatory bowel disease,,,,,,,,,
B cell receptor signaling pathway,,,,,,,,,
Shigellosis,,,,,,,,,
Axon guidance,,,,,,,,,
Adherens junction,,,,,,,,,
TNF signaling pathway,,,,,,,,,
Regulation of lipolysis in adipocytes,,,,,,,,,
Aldosterone-regulated sodium reabsorption,,,,,,,,,
Chagas disease,,,,,,,,,
Hepatocellular carcinoma,,,,,,,,,
Platinum drug resistance,,,,,,,,,
Dilated cardiomyopathy,,,,,,,,,
Prostate cancer,,,,,,,,,
Renal cell carcinoma,,,,,,,,,
Herpes simplex virus 1 infection,,,,,,,,,
Virion - Herpesvirus,,,,,,,,,
"Growth hormone synthesis, secretion and action",,,,,,,,,
Salivary secretion,,,,,,,,,
Central carbon metabolism in cancer,,,,,,,,,
Malaria,,,,,,,,,
Virion - Rotavirus,,,,,,,,,
Thyroid cancer,,,,,,,,,
Virion - Lassa virus and SFTS virus,,,,,,,,,
"Neomycin, kanamycin and gentamicin biosynthesis",,,,,,,,,
GnRH secretion,,,,,,,,,
Choline metabolism in cancer,,,,,,,,,
Basal cell carcinoma,,,,,,,,,
Amyotrophic lateral sclerosis,,,,,,,,,
Lipid and atherosclerosis,,,,,,,,,
Th17 cell differentiation,,,,,,,,,
Chronic myeloid leukemia,,,,,,,,,
Chemical carcinogenesis - DNA adducts,,,,,,,,,
Notch signaling pathway,,,,,,,,,
Apoptosis,,,,,,,,,
Relaxin signaling pathway,,,,,,,,,
FoxO signaling pathway,,,,,,,,,
Antifolate resistance,,,,,,,,,
Cholesterol metabolism,,,,,,,,,
Kaposi sarcoma-associated herpesvirus infection,,,,,,,,,
Complement and coagulation cascades,,,,,,,,,
Epstein-Barr virus infection,,,,,,,,,
Thyroid hormone synthesis,,,,,,,,,
AMPK signaling pathway,,,,,,,,,
Transcriptional misregulation in cancer,,,,,,,,,
Pancreatic cancer,,,,,,,,,
Huntington disease,,,,,,,,,
Aldosterone synthesis and secretion,,,,,,,,,
Neutrophil extracellular trap formation,,,,,,,,,
Autophagy - animal,,,,,,,,,
Tight junction,,,,,,,,,
Vascular smooth muscle contraction,,,,,,,,,
mTOR signaling pathway,,,,,,,,,
Ovarian steroidogenesis,,,,,,,,,
cGMP-PKG signaling pathway,,,,,,,,,
Olfactory transduction,,,,,,,,,
p53 signaling pathway,,,,,,,,,
Pancreatic secretion,,,,,,,,,
Osteoclast differentiation,,,,,,,,,
Fc gamma R-mediated phagocytosis,,,,,,,,,
Renin secretion,,,,,,,,,
ECM-receptor interaction,,,,,,,,,
ErbB signaling pathway,,,,,,,,,
Oxytocin signaling pathway,,,,,,,,,
Antigen processing and presentation,,,,,,,,,
Circadian entrainment,,,,,,,,,
JAK-STAT signaling pathway,,,,,,,,,
Cell adhesion molecules,,,,,,,,,
Cushing syndrome,,,,,,,,,
RIG-I-like receptor signaling pathway,,,,,,,,,
Gap junction,,,,,,,,,
VEGF signaling pathway,,,,,,,,,
Hepatitis B,,,,,,,,,
GABAergic synapse,,,,,,,,,
Virion - Adenovirus,,,,,,,,,
Primary bile acid biosynthesis,,,,,,,,,
Neurotrophin signaling pathway,,,,,,,,,
Parkinson disease,,,,,,,,,
Insulin secretion,,,,,,,,,
T cell receptor signaling pathway,,,,,,,,,
Influenza A,,,,,,,,,
Leukocyte transendothelial migration,,,,,,,,,
Measles,,,,,,,,,
Human cytomegalovirus infection,,,,,,,,,
Insulin resistance,,,,,,,,,
TGF-beta signaling pathway,,,,,,,,,
Carbohydrate digestion and absorption,,,,,,,,,
IL-17 signaling pathway,,,,,,,,,
Endometrial cancer,,,,,,,,,
Long-term potentiation,,,,,,,,,
Mucin type O-glycan biosynthesis,,,,,,,,,
Cytosolic DNA-sensing pathway,,,,,,,,,
NOD-like receptor signaling pathway,,,,,,,,,
Chemical carcinogenesis - reactive oxygen species,,,,,,,,,
Alzheimer disease,,,,,,,,,
African trypanosomiasis,,,,,,,,,
Glioma,,,,,,,,,
Proximal tubule bicarbonate reclamation,,,,,,,,,
Melanoma,,,,,,,,,
Hippo signaling pathway,,,,,,,,,
GnRH signaling pathway,,,,,,,,,
Type I diabetes mellitus,,,,,,,,,
Phototransduction,,,,,,,,,
Colorectal cancer,,,,,,,,,
Acute myeloid leukemia,,,,,,,,,
Glutamatergic synapse,,,,,,,,,
Retrograde endocannabinoid signaling,,,,,,,,,
Cardiac muscle contraction,,,,,,,,,
Collecting duct acid secretion,,,,,,,,,
Melanogenesis,,,,,,,,,
Fluid shear stress and atherosclerosis,,,,,,,,,
Cytokine-cytokine receptor interaction,,,,,,,,,
Th1 and Th2 cell differentiation,,,,,,,,,
