hsa,pae,lsv
GnRH secretion,,
GnRH signaling pathway,,
Ovarian steroidogenesis,,
Estrogen signaling pathway,,
Progesterone-mediated oocyte maturation,,
Prolactin signaling pathway,,
Oxytocin signaling pathway,,
Relaxin signaling pathway,,
"Growth hormone synthesis, secretion and action",,
Thyroid hormone synthesis,,
Thyroid hormone signaling pathway,,
"Parathyroid hormone synthesis, secretion and action",,
Melanogenesis,,
Renin secretion,,
Renin-angiotensin system,,
Aldosterone synthesis and secretion,,
Cortisol synthesis and secretion,,
Cardiac muscle contraction,,
Adrenergic signaling in cardiomyocytes,,
Vascular smooth muscle contraction,,
Salivary secretion,,
Gastric acid secretion,,
Pancreatic secretion,,
Bile secretion,,
Carbohydrate digestion and absorption,,
Protein digestion and absorption,,
Fat digestion and absorption,,
Cholesterol metabolism,,
Vitamin digestion and absorption,,
Folate transport and metabolism,,
Cobalamin transport and metabolism,,
Mineral absorption,,
Vasopressin-regulated water reabsorption,,
Aldosterone-regulated sodium reabsorption,,
Endocrine and other factor-regulated calcium reabsorption,,
Proximal tubule bicarbonate reclamation,,
Collecting duct acid secretion,,
Glutamatergic synapse,,
GABAergic synapse,,
Cholinergic synapse,,
Dopaminergic synapse,,
Serotonergic synapse,,
Long-term potentiation,,
Long-term depression,,
Retrograde endocannabinoid signaling,,
Synaptic vesicle cycle,,
Neurotrophin signaling pathway,,
Phototransduction,,
Olfactory transduction,,
Taste transduction,,
Inflammatory mediator regulation of TRP channels,,
Axon guidance,,
Osteoclast differentiation,,
Longevity regulating pathway,,
Longevity regulating pathway - multiple species,,
Circadian rhythm,,
Circadian entrainment,,
Thermogenesis,,
Pathways in cancer,,
Transcriptional misregulation in cancer,,
MicroRNAs in cancer,,
Proteoglycans in cancer,,
Chemical carcinogenesis - DNA adducts,,
Chemical carcinogenesis - receptor activation,,
Chemical carcinogenesis - reactive oxygen species,,
Viral carcinogenesis,,
Central carbon metabolism in cancer,,
Choline metabolism in cancer,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,,
Colorectal cancer,,
Pancreatic cancer,,
Hepatocellular carcinoma,,
Gastric cancer,,
Glioma,,
Thyroid cancer,,
Acute myeloid leukemia,,
Chronic myeloid leukemia,,
Basal cell carcinoma,,
Melanoma,,
Renal cell carcinoma,,
Bladder cancer,,
Prostate cancer,,
Endometrial cancer,,
Breast cancer,,
Small cell lung cancer,,
Non-small cell lung cancer,,
Human T-cell leukemia virus 1 infection,,
Human immunodeficiency virus 1 infection,,
Hepatitis B,,
Hepatitis C,,
Coronavirus disease - COVID-19,,
Influenza A,,
Measles,,
Herpes simplex virus 1 infection,,
Human cytomegalovirus infection,,
Kaposi sarcoma-associated herpesvirus infection,,
Epstein-Barr virus infection,,
Human papillomavirus infection,,
Vibrio cholerae infection,,
Epithelial cell signaling in Helicobacter pylori infection,,
Pathogenic Escherichia coli infection,,
Salmonella infection,,
Shigellosis,,
Yersinia infection,,
Pertussis,,
Legionellosis,,
Staphylococcus aureus infection,,
Tuberculosis,,
Bacterial invasion of epithelial cells,,
Amoebiasis,,
Malaria,,
Toxoplasmosis,,
Leishmaniasis,,
Chagas disease,,
African trypanosomiasis,,
Asthma,,
Systemic lupus erythematosus,,
Rheumatoid arthritis,,
Autoimmune thyroid disease,,
Inflammatory bowel disease,,
Allograft rejection,,
Graft-versus-host disease,,
Primary immunodeficiency,,
Alzheimer disease,,
Parkinson disease,,
Amyotrophic lateral sclerosis,,
Huntington disease,,
Spinocerebellar ataxia,,
Prion disease,,
Pathways of neurodegeneration - multiple diseases,,
Cocaine addiction,,
Amphetamine addiction,,
Morphine addiction,,
Nicotine addiction,,
Alcoholism,,
Lipid and atherosclerosis,,
Fluid shear stress and atherosclerosis,,
Hypertrophic cardiomyopathy,,
Arrhythmogenic right ventricular cardiomyopathy,,
Dilated cardiomyopathy,,
Diabetic cardiomyopathy,,
Viral myocarditis,,
Type II diabetes mellitus,,
Type I diabetes mellitus,,
Maturity onset diabetes of the young,,
Alcoholic liver disease,,
Non-alcoholic fatty liver disease,,
Insulin resistance,,
AGE-RAGE signaling pathway in diabetic complications,,
Cushing syndrome,,
EGFR tyrosine kinase inhibitor resistance,,
Platinum drug resistance,,
Antifolate resistance,,
Endocrine resistance,,
