KEGG_ID,Search_Item
pae00630,Glyoxylate and dicarboxylate metabolism 
lsv00650,Butanoate metabolism 
hsa00910,Nitrogen metabolism 
pae00640,Propanoate metabolism 
hsa00920,Sulfur metabolism 
pae00650,Butanoate metabolism 
lsv00562,Inositol phosphate metabolism 
hsa00061,Fatty acid biosynthesis 
lsv00190,Oxidative phosphorylation 
pae00562,Inositol phosphate metabolism 
hsa00071,Fatty acid degradation 
pae00190,Oxidative phosphorylation 
lsv00910,Nitrogen metabolism 
lsv00920,Sulfur metabolism 
hsa00561,Glycerolipid metabolism 
pae00910,Nitrogen metabolism 
lsv00061,Fatty acid biosynthesis 
hsa00564,Glycerophospholipid metabolism 
pae00920,Sulfur metabolism 
hsa00565,Ether lipid metabolism 
pae00061,Fatty acid biosynthesis 
lsv00071,Fatty acid degradation 
hsa00600,Sphingolipid metabolism 
pae00071,Fatty acid degradation 
pae00561,Glycerolipid metabolism 
lsv00561,Glycerolipid metabolism 
hsa00592,alpha-Linolenic acid metabolism 
pae00564,Glycerophospholipid metabolism 
lsv00564,Glycerophospholipid metabolism 
hsa01040,Biosynthesis of unsaturated fatty acids 
pae00565,Ether lipid metabolism 
lsv00565,Ether lipid metabolism 
hsa00230,Purine metabolism 
pae00600,Sphingolipid metabolism 
lsv00600,Sphingolipid metabolism 
hsa00240,Pyrimidine metabolism 
pae00592,alpha-Linolenic acid metabolism 
hsa00250,"Alanine, aspartate and glutamate metabolism "
pae01040,Biosynthesis of unsaturated fatty acids 
hsa00260,"Glycine, serine and threonine metabolism "
pae00230,Purine metabolism 
lsv00592,alpha-Linolenic acid metabolism 
hsa00270,Cysteine and methionine metabolism 
pae00240,Pyrimidine metabolism 
lsv01040,Biosynthesis of unsaturated fatty acids 
hsa00280,"Valine, leucine and isoleucine degradation "
pae00250,"Alanine, aspartate and glutamate metabolism "
lsv00230,Purine metabolism 
hsa00290,"Valine, leucine and isoleucine biosynthesis "
pae00260,"Glycine, serine and threonine metabolism "
lsv00240,Pyrimidine metabolism 
hsa00310,Lysine degradation 
pae00270,Cysteine and methionine metabolism 
lsv00250,"Alanine, aspartate and glutamate metabolism "
hsa00220,Arginine biosynthesis 
pae00280,"Valine, leucine and isoleucine degradation "
lsv00260,"Glycine, serine and threonine metabolism "
hsa00330,Arginine and proline metabolism 
pae00290,"Valine, leucine and isoleucine biosynthesis "
lsv00270,Cysteine and methionine metabolism 
hsa00340,Histidine metabolism 
lsv00280,"Valine, leucine and isoleucine degradation "
hsa00350,Tyrosine metabolism 
pae00310,Lysine degradation 
lsv00290,"Valine, leucine and isoleucine biosynthesis "
hsa00360,Phenylalanine metabolism 
pae00220,Arginine biosynthesis 
hsa00380,Tryptophan metabolism 
pae00330,Arginine and proline metabolism 
lsv00310,Lysine degradation 
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis "
pae00340,Histidine metabolism 
lsv00220,Arginine biosynthesis 
hsa00410,beta-Alanine metabolism 
pae00350,Tyrosine metabolism 
lsv00330,Arginine and proline metabolism 
hsa00430,Taurine and hypotaurine metabolism 
pae00360,Phenylalanine metabolism 
lsv00340,Histidine metabolism 
hsa00440,Phosphonate and phosphinate metabolism 
pae00380,Tryptophan metabolism 
lsv00350,Tyrosine metabolism 
hsa00450,Selenocompound metabolism 
pae00400,"Phenylalanine, tyrosine and tryptophan biosynthesis "
lsv00360,Phenylalanine metabolism 
hsa00470,D-Amino acid metabolism 
pae00410,beta-Alanine metabolism 
lsv00380,Tryptophan metabolism 
hsa00480,Glutathione metabolism 
pae00430,Taurine and hypotaurine metabolism 
lsv00400,"Phenylalanine, tyrosine and tryptophan biosynthesis "
pae00440,Phosphonate and phosphinate metabolism 
lsv00410,beta-Alanine metabolism 
pae00450,Selenocompound metabolism 
lsv00430,Taurine and hypotaurine metabolism 
lsv00440,Phosphonate and phosphinate metabolism 
pae00470,D-Amino acid metabolism 
lsv00450,Selenocompound metabolism 
pae00480,Glutathione metabolism 
lsv00470,D-Amino acid metabolism 
lsv00480,Glutathione metabolism 
pae00730,Thiamine metabolism 
pae00740,Riboflavin metabolism 
pae00750,Vitamin B6 metabolism 
pae00760,Nicotinate and nicotinamide metabolism 
hsa00730,Thiamine metabolism 
pae00770,Pantothenate and CoA biosynthesis 
hsa00740,Riboflavin metabolism 
pae00780,Biotin metabolism 
hsa00750,Vitamin B6 metabolism 
pae00785,Lipoic acid metabolism 
hsa00760,Nicotinate and nicotinamide metabolism 
pae00790,Folate biosynthesis 
lsv00730,Thiamine metabolism 
hsa00770,Pantothenate and CoA biosynthesis 
pae00670,One carbon pool by folate 
lsv00740,Riboflavin metabolism 
hsa00780,Biotin metabolism 
pae00860,Porphyrin metabolism 
lsv00750,Vitamin B6 metabolism 
hsa00785,Lipoic acid metabolism 
pae00130,Ubiquinone and other terpenoid-quinone biosynthesis 
lsv00760,Nicotinate and nicotinamide metabolism 
hsa00790,Folate biosynthesis 
pae00900,Terpenoid backbone biosynthesis 
lsv00770,Pantothenate and CoA biosynthesis 
hsa00670,One carbon pool by folate 
lsv00780,Biotin metabolism 
lsv00785,Lipoic acid metabolism 
hsa00860,Porphyrin metabolism 
lsv00790,Folate biosynthesis 
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis 
lsv00670,One carbon pool by folate 
hsa00900,Terpenoid backbone biosynthesis 
lsv00860,Porphyrin metabolism 
lsv00130,Ubiquinone and other terpenoid-quinone biosynthesis 
lsv00900,Terpenoid backbone biosynthesis 
hsa03020,RNA polymerase 
hsa03010,Ribosome 
hsa00970,Aminoacyl-tRNA biosynthesis 
hsa03008,Ribosome biogenesis in eukaryotes 
hsa03060,Protein export 
hsa04122,Sulfur relay system 
hsa03018,RNA degradation 
pae03020,RNA polymerase 
hsa03030,DNA replication 
pae03010,Ribosome 
hsa03410,Base excision repair 
pae00970,Aminoacyl-tRNA biosynthesis 
hsa03420,Nucleotide excision repair 
pae03008,Ribosome biogenesis in eukaryotes 
lsv03020,RNA polymerase 
hsa03430,Mismatch repair 
pae03060,Protein export 
hsa03440,Homologous recombination 
pae04122,Sulfur relay system 
hsa03450,Non-homologous end-joining 
pae03018,RNA degradation 
lsv03010,Ribosome 
pae03030,DNA replication 
lsv00970,Aminoacyl-tRNA biosynthesis 
pae03410,Base excision repair 
pae03420,Nucleotide excision repair 
hsa03250,Viral life cycle - HIV-1 
pae03430,Mismatch repair 
lsv03008,Ribosome biogenesis in eukaryotes 
pae03440,Homologous recombination 
lsv03060,Protein export 
pae03450,Non-homologous end-joining 
pae03250,Viral life cycle - HIV-1 
pae02010,ABC transporters 
lsv04122,Sulfur relay system 
lsv03018,RNA degradation 
pae04146,Peroxisome 
lsv03030,DNA replication 
hsa02010,ABC transporters 
pae04148,Efferocytosis 
lsv03410,Base excision repair 
lsv03420,Nucleotide excision repair 
lsv03430,Mismatch repair 
lsv03440,Homologous recombination 
lsv03450,Non-homologous end-joining 
pae04981,Folate transport and metabolism 
lsv03250,Viral life cycle - HIV-1 
lsv02010,ABC transporters 
lsv04146,Peroxisome 
lsv04148,Efferocytosis 
lsv04981,Folate transport and metabolism 
hsa04146,Peroxisome 
hsa04148,Efferocytosis 
hsa04981,Folate transport and metabolism 
